onset_time,offset_time,duration,midi_note,note_name,velocity,onset_prob,offset_prob,decode_source
0.048,0.096,0.048,80,G#5,77,0.8432,0.669,primary_onset
0.112,0.208,0.096,50,D3,72,0.9044,0.7567,primary_onset
0.192,0.256,0.064,73,C#5,93,0.8789,0.4456,primary_onset
0.192,0.352,0.16,85,C#6,98,0.862,0.6437,primary_onset
0.224,0.288,0.064,56,G#3,65,0.7727,0.5416,primary_onset
0.32,0.4,0.08,50,D3,70,0.8857,0.7709,primary_onset
0.32,0.4,0.08,80,G#5,78,0.8911,0.7153,primary_onset
0.4,0.448,0.048,47,B2,59,0.8359,0.6098,primary_onset
0.512,0.576,0.064,50,D3,70,0.8894,0.8121,primary_onset
0.512,0.64,0.128,71,B4,92,0.8847,0.6406,primary_onset
0.512,0.656,0.144,83,B5,98,0.901,0.6362,primary_onset
0.576,0.656,0.08,44,G#2,74,0.8961,0.8342,primary_onset
0.656,0.752,0.096,50,D3,74,0.8921,0.7574,primary_onset
0.752,0.832,0.08,44,G#2,70,0.8126,0.678,primary_onset
0.768,0.8,0.032,47,B2,64,0.7846,0.544,primary_onset
0.832,0.896,0.064,69,A4,94,0.8766,0.7855,primary_onset
0.832,1.008,0.176,81,A5,95,0.9183,0.6229,primary_onset
0.848,0.928,0.08,50,D3,87,0.9088,0.7029,primary_onset
0.896,1.04,0.144,75,D#5,67,0.7924,0.4944,primary_onset
0.896,0.944,0.048,77,F5,69,0.8599,0.4156,primary_onset
1.008,1.072,0.064,69,A4,89,0.8689,0.7641,primary_onset
1.184,1.344,0.16,50,D3,86,0.8646,0.5734,primary_onset
1.184,1.28,0.096,62,D4,89,0.8415,0.5255,primary_onset
1.184,1.28,0.096,68,G#4,95,0.9019,0.687,primary_onset
1.184,1.328,0.144,80,G#5,97,0.8162,0.3664,primary_onset
1.296,1.408,0.112,71,B4,68,0.821,0.5217,primary_onset
1.36,1.408,0.048,56,G#3,60,0.8691,0.6917,primary_onset
1.408,1.472,0.064,68,G#4,82,0.9117,0.6852,primary_onset
1.584,1.792,0.208,61,C#4,95,0.9128,0.5869,primary_onset
1.584,1.712,0.128,67,G4,89,0.8741,0.6372,primary_onset
1.584,1.76,0.176,79,G5,91,0.8938,0.3628,primary_onset
1.6,1.84,0.24,49,C#3,86,0.8658,0.391,primary_onset
1.712,1.824,0.112,70,A#4,65,0.8027,0.597,primary_onset
1.808,1.856,0.048,55,G3,67,0.7994,0.4742,primary_onset
1.824,1.904,0.08,67,G4,83,0.8801,0.6318,primary_onset
1.92,2.016,0.096,76,E5,71,0.8814,0.7414,primary_onset
1.952,2.016,0.064,59,B3,94,0.9073,0.6016,primary_onset
1.968,2.048,0.08,47,B2,84,0.9068,0.5211,primary_onset
2.0,2.08,0.08,70,A#4,83,0.8082,0.7096,primary_onset
2.016,2.096,0.08,73,C#5,70,0.8253,0.6098,primary_onset
2.096,2.192,0.096,76,E5,69,0.8477,0.6614,primary_onset
2.176,2.224,0.048,70,A#4,76,0.9094,0.6783,primary_onset
2.256,2.304,0.048,58,A#3,97,0.8868,0.6936,primary_onset
2.272,2.336,0.064,46,A#2,82,0.8928,0.6346,primary_onset
2.304,2.352,0.048,70,A#4,74,0.8717,0.6241,primary_onset
2.592,2.656,0.064,56,G#3,96,0.8912,0.7777,primary_onset
2.608,2.672,0.064,44,G#2,87,0.9155,0.5103,primary_onset
2.768,2.832,0.064,56,G#3,89,0.8878,0.7446,primary_onset
2.928,3.216,0.288,88,E6,99,0.897,0.5869,primary_onset
2.944,3.168,0.224,76,E5,99,0.8988,0.5771,primary_onset
2.96,3.12,0.16,43,G2,86,0.8996,0.5537,primary_onset
2.96,3.104,0.144,55,G3,100,0.8601,0.682,primary_onset
2.96,3.008,0.048,85,C#6,70,0.7903,0.5916,primary_onset
3.12,3.216,0.096,46,A#2,70,0.8869,0.6335,primary_onset
3.152,3.248,0.096,79,G5,64,0.8769,0.6934,primary_onset
3.216,3.28,0.064,55,G3,91,0.9008,0.8163,primary_onset
3.232,3.312,0.08,82,A#5,71,0.827,0.6816,primary_onset
3.312,3.344,0.032,46,A#2,59,0.7532,0.4958,primary_onset
3.36,3.456,0.096,75,D#5,100,0.8728,0.5651,primary_onset
3.36,3.552,0.192,87,D#6,99,0.9231,0.5353,primary_onset
3.392,3.456,0.064,55,G3,89,0.8713,0.7314,primary_onset
3.392,3.424,0.032,85,C#6,72,0.8618,0.6251,primary_onset
3.456,3.488,0.032,47,B2,71,0.9021,0.7686,primary_onset
3.552,3.6,0.048,75,D#5,85,0.8569,0.7334,primary_onset
3.664,3.824,0.16,64,E4,100,0.8366,0.5961,primary_onset
3.68,3.824,0.144,52,E3,89,0.8533,0.5752,primary_onset
3.696,3.856,0.16,73,C#5,102,0.8835,0.6502,primary_onset
3.696,3.888,0.192,79,G5,69,0.7878,0.492,primary_onset
3.696,3.872,0.176,85,C#6,97,0.9127,0.6357,primary_onset
3.808,3.872,0.064,58,A#3,76,0.9173,0.7102,primary_onset
4.0,4.08,0.08,63,D#4,99,0.8513,0.5427,primary_onset
4.016,4.08,0.064,51,D#3,91,0.8594,0.5137,primary_onset
4.016,4.144,0.128,71,B4,97,0.8977,0.613,primary_onset
4.016,4.144,0.128,83,B5,95,0.8801,0.5733,primary_onset
4.096,4.192,0.096,78,F#5,70,0.8749,0.6639,primary_onset
4.144,4.208,0.064,56,G#3,73,0.903,0.6606,primary_onset
4.288,4.384,0.096,49,C#3,83,0.865,0.3905,primary_onset
4.288,4.432,0.144,61,C#4,101,0.8643,0.6621,primary_onset
4.288,4.448,0.16,70,A#4,96,0.8873,0.6122,primary_onset
4.288,4.464,0.176,82,A#5,97,0.9149,0.6929,primary_onset
4.4,4.48,0.08,56,G#3,66,0.7661,0.6533,primary_onset
4.576,4.64,0.064,48,C3,86,0.8278,0.6907,primary_onset
4.576,4.624,0.048,60,C4,98,0.8463,0.6598,primary_onset
4.576,4.624,0.048,69,A4,100,0.8569,0.6793,primary_onset
4.576,4.672,0.096,81,A5,97,0.863,0.693,primary_onset
4.656,4.704,0.048,75,D#5,72,0.8674,0.7705,primary_onset
4.848,5.008,0.16,46,A#2,87,0.9009,0.7035,primary_onset
4.848,4.976,0.128,58,A#3,95,0.8588,0.5291,primary_onset
4.848,5.008,0.16,78,F#5,105,0.8848,0.7757,primary_onset
4.848,5.008,0.16,90,F#6,103,0.9111,0.6669,primary_onset
4.976,5.008,0.032,54,F#3,71,0.8445,0.6842,primary_onset
