midi_note,note_name,time_sec,onset_peak,frame_peak,velocity_peak,velocity_int,candidate_type,score
39,D#2,8.304,0.7318,0.929,0.7629,97,weak_onset_frame_present,1.5728
42,F#2,7.728,0.7349,0.8054,0.7512,95,weak_onset_frame_present,1.4865
52,E3,1.808,0.7291,0.8694,0.4825,61,weak_onset_frame_present,1.4583
77,F5,6.96,0.7454,0.7675,0.6752,86,weak_onset_frame_present,1.4515
77,F5,0.656,0.7459,0.8277,0.4717,60,weak_onset_frame_present,1.4432
82,A#5,3.456,0.7302,0.799,0.5346,68,weak_onset_frame_present,1.4231
36,C2,9.552,0.7443,0.7158,0.6904,88,weak_onset_frame_present,1.4179
79,G5,3.44,0.6573,0.8526,0.5115,65,weak_onset_frame_present,1.382
61,C#4,5.776,0.7174,0.7466,0.5208,66,weak_onset_frame_present,1.3702
53,F3,4.416,0.6877,0.7726,0.464,59,weak_onset_frame_present,1.3445
49,C#3,3.12,0.7122,0.6896,0.5131,65,weak_onset_frame_present,1.3232
84,C6,4.976,0.7131,0.6745,0.49,62,weak_onset_frame_present,1.3077
83,B5,6.224,0.6307,0.6932,0.7145,91,weak_onset_frame_present,1.2946
73,C#5,2.176,0.6794,0.6734,0.5298,67,weak_onset_frame_present,1.2832
84,C6,6.48,0.6258,0.6778,0.7227,92,weak_onset_frame_present,1.2809
49,C#3,6.528,0.6766,0.6402,0.5944,75,weak_onset_frame_present,1.2733
80,G#5,3.728,0.7235,0.5716,0.4723,60,weak_onset_frame_present,1.2417
53,F3,0.0,0.5382,0.7703,0.6542,83,weak_onset_frame_present,1.2409
46,A#2,2.8,0.6857,0.586,0.5749,73,weak_onset_frame_present,1.2396
37,C#2,8.816,0.5818,0.6533,0.7289,93,weak_onset_frame_present,1.2214
66,F#4,5.776,0.613,0.6317,0.6165,78,weak_onset_frame_present,1.2093
62,D4,1.392,0.587,0.6557,0.6511,83,weak_onset_frame_present,1.2087
55,G3,2.368,0.6221,0.6342,0.5592,71,weak_onset_frame_present,1.2059
78,F#5,5.968,0.574,0.6948,0.5157,65,weak_onset_frame_present,1.1893
59,B3,1.296,0.5413,0.7246,0.5326,68,weak_onset_frame_present,1.1816
74,D5,0.0,0.4351,0.8113,0.6985,89,weak_onset_frame_present,1.1776
85,C#6,5.424,0.576,0.6549,0.5537,70,weak_onset_frame_present,1.1728
49,C#3,6.976,0.6129,0.6025,0.5492,70,weak_onset_frame_present,1.1719
90,F#6,8.336,0.6378,0.5582,0.5125,65,weak_onset_frame_present,1.1567
59,B3,1.328,0.5024,0.7246,0.5278,67,weak_onset_frame_present,1.1416
44,G#2,0.224,0.5302,0.6869,0.5175,66,weak_onset_frame_present,1.1404
54,F#3,4.704,0.5993,0.598,0.4794,61,weak_onset_frame_present,1.1378
54,F#3,5.776,0.5467,0.6334,0.5683,72,weak_onset_frame_present,1.1322
44,G#2,0.896,0.541,0.6407,0.5653,72,weak_onset_frame_present,1.1309
73,C#5,6.208,0.5301,0.6031,0.709,90,weak_onset_frame_present,1.1295
76,E5,3.792,0.5529,0.6042,0.5939,75,weak_onset_frame_present,1.1243
81,A5,5.216,0.5437,0.6431,0.4821,61,weak_onset_frame_present,1.1144
51,D#3,4.672,0.5726,0.5994,0.4794,61,weak_onset_frame_present,1.112
44,G#2,0.0,0.472,0.6884,0.5263,67,weak_onset_frame_present,1.0855
74,D5,1.312,0.5237,0.6226,0.4754,60,weak_onset_frame_present,1.0783
49,C#3,2.224,0.5243,0.5778,0.4756,60,weak_onset_frame_present,1.0477
82,A#5,7.856,0.5046,0.5697,0.5503,70,weak_onset_frame_present,1.0409
64,E4,2.096,0.4897,0.5829,0.5698,72,weak_onset_frame_present,1.0402
50,D3,4.976,0.4863,0.5781,0.5168,66,weak_onset_frame_present,1.0202
81,A5,4.976,0.4991,0.5463,0.53,67,weak_onset_frame_present,1.014
78,F#5,1.664,0.475,0.5567,0.5463,69,weak_onset_frame_present,1.0013
49,C#3,7.568,0.4637,0.5629,0.5703,72,weak_onset_frame_present,1.0003
92,G#6,8.672,0.5369,0.4852,0.4946,63,weak_onset_weak_frame,1.0002
76,E5,2.256,0.4531,0.5789,0.5424,69,weak_onset_frame_present,0.994
50,D3,4.608,0.5016,0.5261,0.4783,61,weak_onset_frame_present,0.9895
94,A#6,9.056,0.4475,0.5165,0.7207,92,weak_onset_frame_present,0.9892
59,B3,4.672,0.4691,0.5623,0.4858,62,weak_onset_frame_present,0.9841
76,E5,2.384,0.4741,0.5227,0.519,66,weak_onset_frame_present,0.9698
79,G5,3.376,0.2835,0.7918,0.5115,65,weak_onset_frame_present,0.9657
53,F3,9.76,0.4112,0.5432,0.6431,82,weak_onset_frame_present,0.9522
74,D5,0.656,0.4427,0.5497,0.4872,62,weak_onset_frame_present,0.9493
78,F#5,6.24,0.4179,0.5864,0.4768,61,weak_onset_frame_present,0.9475
62,D4,9.36,0.4506,0.5147,0.5335,68,weak_onset_frame_present,0.9443
50,D3,4.672,0.4541,0.5261,0.46,58,weak_onset_frame_present,0.9373
46,A#2,7.872,0.4229,0.5451,0.5185,66,weak_onset_frame_present,0.934
78,F#5,1.2,0.4274,0.5105,0.5591,71,weak_onset_frame_present,0.9245
49,C#3,4.416,0.2672,0.6884,0.6662,85,weak_onset_frame_present,0.9157
46,A#2,2.656,0.4991,0.4276,0.4499,57,weak_onset_weak_frame,0.9109
92,G#6,9.968,0.4668,0.461,0.4729,60,weak_onset_weak_frame,0.9077
80,G#5,6.736,0.4264,0.5377,0.4071,52,weak_onset_frame_present,0.9046
71,B4,2.336,0.4352,0.5244,0.3936,50,weak_onset_frame_present,0.9007
78,F#5,1.232,0.4171,0.5105,0.5041,64,weak_onset_frame_present,0.9004
48,C3,4.704,0.33,0.5653,0.6856,87,weak_onset_frame_present,0.8971
87,D#6,7.744,0.3963,0.4938,0.6098,77,weak_onset_weak_frame,0.8945
52,E3,4.336,0.3556,0.5747,0.5141,65,weak_onset_frame_present,0.8864
78,F#5,4.672,0.4425,0.5089,0.3474,44,weak_onset_frame_present,0.8856
61,C#4,5.536,0.4045,0.5265,0.4303,55,weak_onset_frame_present,0.8806
78,F#5,0.88,0.4149,0.4862,0.4818,61,weak_onset_weak_frame,0.8757
58,A#3,9.376,0.3877,0.4783,0.5818,74,weak_onset_weak_frame,0.868
82,A#5,6.512,0.3964,0.4753,0.5388,68,weak_onset_weak_frame,0.8638
52,E3,4.4,0.3406,0.5747,0.4822,61,weak_onset_frame_present,0.8634
49,C#3,3.232,0.3098,0.6034,0.5032,64,weak_onset_frame_present,0.858
49,C#3,4.656,0.421,0.4539,0.4763,60,weak_onset_weak_frame,0.8578
59,B3,3.456,0.3635,0.5263,0.4931,63,weak_onset_frame_present,0.8552
37,C#2,9.056,0.3924,0.4578,0.5551,70,weak_onset_weak_frame,0.8517
44,G#2,4.864,0.3957,0.4534,0.5006,64,weak_onset_weak_frame,0.8382
51,D#3,6.24,0.3702,0.4594,0.5839,74,weak_onset_weak_frame,0.8377
47,B2,0.192,0.3368,0.5435,0.4737,60,weak_onset_frame_present,0.8357
85,C#6,7.504,0.2915,0.5666,0.5854,74,weak_onset_frame_present,0.8345
59,B3,4.608,0.3218,0.5623,0.4727,60,weak_onset_frame_present,0.8335
44,G#2,7.76,0.3806,0.4687,0.4962,63,weak_onset_weak_frame,0.8328
54,F#3,5.696,0.267,0.5888,0.6103,78,weak_onset_frame_present,0.8317
87,D#6,4.88,0.4229,0.4211,0.4258,54,weak_onset_weak_frame,0.8241
82,A#5,5.152,0.3759,0.4719,0.4686,60,weak_onset_weak_frame,0.8234
85,C#6,7.472,0.307,0.5213,0.5991,76,weak_onset_frame_present,0.8216
82,A#5,5.712,0.3847,0.443,0.4792,61,weak_onset_weak_frame,0.8145
49,C#3,6.72,0.3801,0.458,0.4486,57,weak_onset_weak_frame,0.8129
84,C6,6.736,0.3769,0.4071,0.5925,75,weak_onset_weak_frame,0.81
78,F#5,6.496,0.3462,0.4997,0.4379,56,weak_onset_weak_frame,0.8055
78,F#5,6.528,0.338,0.4997,0.4379,56,weak_onset_weak_frame,0.7972
61,C#4,9.392,0.3464,0.4658,0.4948,63,weak_onset_weak_frame,0.7961
59,B3,1.376,0.2689,0.5812,0.477,61,weak_onset_frame_present,0.795
47,B2,4.608,0.3369,0.4737,0.4963,63,weak_onset_weak_frame,0.7926
76,E5,2.304,0.2648,0.5668,0.5225,66,weak_onset_frame_present,0.7923
88,E6,7.744,0.3004,0.4414,0.7192,91,weak_onset_weak_frame,0.7891
49,C#3,3.424,0.3638,0.4614,0.4042,51,weak_onset_weak_frame,0.7879
60,C4,9.76,0.3267,0.4424,0.6037,77,weak_onset_weak_frame,0.7873
84,C6,5.152,0.3407,0.4715,0.4518,57,weak_onset_weak_frame,0.7837
80,G#5,5.776,0.3068,0.5244,0.4292,55,weak_onset_frame_present,0.7812
85,C#6,5.168,0.3134,0.5084,0.4469,57,weak_onset_frame_present,0.781
54,F#3,6.064,0.3059,0.4925,0.5109,65,weak_onset_weak_frame,0.7784
56,G#3,5.44,0.3759,0.4412,0.3728,47,weak_onset_weak_frame,0.778
77,F5,0.288,0.2706,0.5463,0.4995,63,weak_onset_frame_present,0.7779
45,A2,4.88,0.3507,0.4512,0.4412,56,weak_onset_weak_frame,0.7768
74,D5,0.896,0.2693,0.5538,0.468,59,weak_onset_frame_present,0.774
51,D#3,4.32,0.293,0.4652,0.5926,75,weak_onset_weak_frame,0.7668
80,G#5,5.712,0.2797,0.5244,0.4488,57,weak_onset_frame_present,0.759
85,C#6,6.992,0.2791,0.4579,0.6339,81,weak_onset_weak_frame,0.7581
39,D#2,8.816,0.2905,0.4378,0.642,82,weak_onset_weak_frame,0.7575
39,D#2,9.952,0.3339,0.3912,0.5755,73,weak_onset_weak_frame,0.7516
50,D3,8.672,0.3441,0.4151,0.4462,57,weak_onset_weak_frame,0.7462
80,G#5,6.992,0.3422,0.4338,0.3966,50,weak_onset_weak_frame,0.745
87,D#6,8.64,0.2901,0.4255,0.6239,79,weak_onset_weak_frame,0.7439
83,B5,5.152,0.3246,0.4301,0.4574,58,weak_onset_weak_frame,0.74
51,D#3,6.528,0.315,0.4476,0.4385,56,weak_onset_weak_frame,0.738
83,B5,3.44,0.3093,0.4614,0.4172,53,weak_onset_weak_frame,0.7366
62,D4,9.76,0.2984,0.4064,0.5877,75,weak_onset_weak_frame,0.7297
51,D#3,4.88,0.2593,0.4758,0.5347,68,weak_onset_weak_frame,0.726
76,E5,9.792,0.3293,0.3446,0.6076,77,weak_onset_weak_frame,0.7224
53,F3,4.704,0.2911,0.4573,0.4419,56,weak_onset_weak_frame,0.7217
41,F2,8.032,0.3336,0.3401,0.586,74,weak_onset_weak_frame,0.7181
85,C#6,5.216,0.2599,0.5084,0.3988,51,weak_onset_frame_present,0.7155
46,A#2,7.584,0.2793,0.475,0.4138,53,weak_onset_weak_frame,0.7153
42,F#2,8.032,0.3241,0.3487,0.584,74,weak_onset_weak_frame,0.7142
56,G#3,4.704,0.2841,0.4515,0.4471,57,weak_onset_weak_frame,0.7119
46,A#2,7.76,0.257,0.4761,0.482,61,weak_onset_weak_frame,0.7108
47,B2,4.656,0.2669,0.4737,0.4373,56,weak_onset_weak_frame,0.7078
49,C#3,3.008,0.2684,0.4629,0.4582,58,weak_onset_weak_frame,0.707
80,G#5,6.256,0.2968,0.4503,0.377,48,weak_onset_weak_frame,0.7062
64,E4,9.36,0.2998,0.4021,0.4901,62,weak_onset_weak_frame,0.7038
80,G#5,4.704,0.3269,0.4144,0.3319,42,weak_onset_weak_frame,0.7
85,C#6,8.032,0.2505,0.4236,0.5883,75,weak_onset_weak_frame,0.6941
56,G#3,6.528,0.2555,0.446,0.4277,54,weak_onset_weak_frame,0.6746
64,E4,9.776,0.2691,0.3624,0.5558,71,weak_onset_weak_frame,0.6618
87,D#6,2.992,0.2654,0.3796,0.5078,64,weak_onset_weak_frame,0.6581
