sample_index,segment_id,midi_path,bpm,midi_note,pitch_name,onset_time,onset_slot,gt_class,gt_name,pred_class,pred_name,pred_confidence,pred_duration_class,pred_duration_name,gt_physical_class,gt_physical_name,gt_sounding_class,gt_sounding_name,gt_physical_duration,gt_sounding_duration,pred_duration
0,1,C:\Users\ToniH\Documents\GitHub\LiveScore\backend\rhythm_training\maestro_midi\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,120.0,80,80,0.427083,3,0,32nd,1,dotted_32nd,0.5625,0,32nd,0,32nd,6,quarter,0.045573,0.601562,0.048
0,1,C:\Users\ToniH\Documents\GitHub\LiveScore\backend\rhythm_training\maestro_midi\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,120.0,67,67,0.570312,5,6,quarter,0,32nd,0.501465,0,32nd,0,32nd,6,quarter,0.036458,0.458333,0.032
0,1,C:\Users\ToniH\Documents\GitHub\LiveScore\backend\rhythm_training\maestro_midi\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,120.0,81,81,0.571615,5,2,16th,1,dotted_32nd,0.572266,2,16th,0,32nd,6,quarter,0.035156,0.457031,0.112
0,1,C:\Users\ToniH\Documents\GitHub\LiveScore\backend\rhythm_training\maestro_midi\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,120.0,49,49,0.622396,5,5,dotted_eighth,0,32nd,0.619629,0,32nd,0,32nd,5,dotted_eighth,0.040365,0.40625,0.048
0,1,C:\Users\ToniH\Documents\GitHub\LiveScore\backend\rhythm_training\maestro_midi\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,120.0,43,43,0.623698,5,5,dotted_eighth,4,eighth,0.562988,0,32nd,0,32nd,5,dotted_eighth,0.053385,0.404948,0.048
0,1,C:\Users\ToniH\Documents\GitHub\LiveScore\backend\rhythm_training\maestro_midi\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,120.0,59,59,0.653646,5,6,quarter,4,eighth,0.916992,2,16th,0,32nd,5,dotted_eighth,0.036458,0.375,0.112
0,1,C:\Users\ToniH\Documents\GitHub\LiveScore\backend\rhythm_training\maestro_midi\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,120.0,82,82,0.697917,6,5,dotted_eighth,0,32nd,0.822754,0,32nd,0,32nd,5,dotted_eighth,0.066406,0.330729,0.032
0,1,C:\Users\ToniH\Documents\GitHub\LiveScore\backend\rhythm_training\maestro_midi\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,120.0,83,83,0.817708,7,3,dotted_16th,0,32nd,0.868164,0,32nd,0,32nd,3,dotted_16th,0.0625,0.210938,0.048
0,1,C:\Users\ToniH\Documents\GitHub\LiveScore\backend\rhythm_training\maestro_midi\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,120.0,70,70,0.940104,8,1,dotted_32nd,0,32nd,0.848633,0,32nd,0,32nd,1,dotted_32nd,0.040365,0.088542,0.032
0,1,C:\Users\ToniH\Documents\GitHub\LiveScore\backend\rhythm_training\maestro_midi\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,120.0,84,84,0.9375,8,2,16th,0,32nd,0.612305,0,32nd,2,16th,2,16th,0.122396,0.122396,0.048
